kind,source,symbol,guide,note
api,src/app/api/financial/budget-rules/preview/route.ts,,docs/engineering/flows/financial-budgets.md,Orcamentos na main; conferir escopo por acao e gatilho.
api,src/app/api/financial/budget-rules/route.ts,,docs/engineering/flows/financial-budgets.md,Orcamentos na main; conferir escopo por acao e gatilho.
api,src/app/api/financial/budgets/[id]/coverage/route.ts,,docs/engineering/flows/financial-budgets.md,"Rota adicionada na main70aaab65; conferir schemas, permissao e consumidores."
api,src/app/api/financial/budgets/[id]/route.ts,,docs/engineering/flows/financial-budgets.md,Orcamentos na main; conferir escopo por acao e gatilho.
api,src/app/api/financial/budgets/cash-projections/route.ts,,docs/engineering/flows/financial-budgets.md,"Rota adicionada na main70aaab65; conferir schemas, permissao e consumidores."
api,src/app/api/financial/budgets/forecast-conversion/route.ts,,docs/engineering/flows/financial-budgets.md,"Rota adicionada na main70aaab65; conferir schemas, permissao e consumidores."
api,src/app/api/financial/budgets/person-references/route.ts,,docs/engineering/flows/financial-budgets.md,"Rota adicionada na main70aaab65; conferir schemas, permissao e consumidores."
api,src/app/api/financial/budgets/route.ts,,docs/engineering/flows/financial-budgets.md,Orcamentos na main; conferir escopo por acao e gatilho.
api,src/app/api/financial/card-statements/[statementId]/reconcile/route.ts,,docs/engineering/flows/card-statements.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/financial/card-statements/import-preview/route.ts,,docs/engineering/flows/card-statements.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/financial/card-statements/import/route.ts,,docs/engineering/flows/card-statements.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/financial/cash-closures/[closureId]/audit/route.ts,,docs/engineering/flows/cash-closures.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/financial/cash-closures/[closureId]/expected-adjustment/route.ts,,docs/engineering/flows/cash-closures.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/financial/cash-closures/[closureId]/finalize/route.ts,,docs/engineering/flows/cash-closures.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/financial/cash-closures/[closureId]/reopen/route.ts,,docs/engineering/flows/cash-closures.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/financial/cash-closures/[closureId]/route.ts,,docs/engineering/flows/cash-closures.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/financial/cash-closures/[closureId]/split-deposit/route.ts,,docs/engineering/flows/cash-closures.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/financial/cash-closures/months/route.ts,,docs/engineering/flows/cash-closures.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/financial/cash-closures/overview/route.ts,,docs/engineering/flows/cash-closures.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/financial/cash-closures/route.ts,,docs/engineering/flows/cash-closures.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/financial/cash-closures/sync/route.ts,,docs/engineering/flows/cash-closures.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/financial/cash-counting-sessions/[sessionId]/cancel/route.ts,,docs/engineering/flows/cash-closures.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/financial/cash-counting-sessions/[sessionId]/coins/exchange/route.ts,,docs/engineering/flows/cash-closures.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/financial/cash-counting-sessions/[sessionId]/denominations/route.ts,,docs/engineering/flows/cash-closures.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/financial/cash-counting-sessions/[sessionId]/draft-position/route.ts,,docs/engineering/flows/cash-closures.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/financial/cash-counting-sessions/[sessionId]/finish/route.ts,,docs/engineering/flows/cash-closures.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/financial/cash-counting-sessions/[sessionId]/route.ts,,docs/engineering/flows/cash-closures.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/financial/cash-counting-sessions/route.ts,,docs/engineering/flows/cash-closures.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/financial/cash-deposits/[batchId]/cancel/route.ts,,docs/engineering/flows/cash-deposits.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/financial/cash-deposits/[batchId]/coins/route.ts,,docs/engineering/flows/cash-deposits.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/financial/cash-deposits/[batchId]/issue/route.ts,,docs/engineering/flows/cash-deposits.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/financial/cash-deposits/[batchId]/pdf/route.ts,,docs/engineering/flows/cash-deposits.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/financial/cash-deposits/[batchId]/refresh/route.ts,,docs/engineering/flows/cash-deposits.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/financial/cash-deposits/[batchId]/route.ts,,docs/engineering/flows/cash-deposits.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/financial/cash-deposits/adjustments/allocate/route.ts,,docs/engineering/flows/cash-deposits.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/financial/cash-deposits/coins/exchange/route.ts,,docs/engineering/flows/cash-deposits.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/financial/cash-deposits/inter/webhook/route.ts,,docs/engineering/runtime-surfaces.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/financial/cash-deposits/reports/export/route.ts,,docs/engineering/flows/cash-deposits.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/financial/cash-deposits/reports/route.ts,,docs/engineering/flows/cash-deposits.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/financial/cash-deposits/route.ts,,docs/engineering/flows/cash-deposits.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/financial/data/route.ts,,docs/engineering/flows/cash-flow.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/financial/dre/source-data/route.ts,,docs/engineering/flows/dre.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/financial/dre/stock-cmv/route.ts,,docs/engineering/flows/dre.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/financial/expenses/[expenseId]/adjustments/[adjustmentId]/route.ts,,docs/engineering/flows/expenses.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/financial/expenses/[expenseId]/boleto/payment/route.ts,,docs/engineering/flows/payment-requests.md,"Rota adicionada na main70aaab65; conferir schemas, permissao e consumidores."
api,src/app/api/financial/expenses/[expenseId]/boleto/route.ts,,docs/engineering/flows/payment-requests.md,"Rota adicionada na main70aaab65; conferir schemas, permissao e consumidores."
api,src/app/api/financial/expenses/[expenseId]/payments/route.ts,,docs/engineering/flows/expenses.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/financial/expenses/[expenseId]/reconcile-provision/route.ts,,docs/engineering/flows/expenses.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/financial/expenses/[expenseId]/settlement/route.ts,,docs/engineering/flows/expenses.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/financial/import-sessions/[sessionId]/route.ts,,docs/engineering/flows/expenses.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/financial/inbox/[id]/analyze/route.ts,,docs/engineering/flows/financial-inbox.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/financial/inbox/[id]/files/[fileId]/route.ts,,docs/engineering/flows/financial-inbox.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/financial/inbox/[id]/link/route.ts,,docs/engineering/flows/financial-inbox.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/financial/inbox/[id]/payment/route.ts,,docs/engineering/flows/financial-inbox.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/financial/inbox/[id]/restore/route.ts,,docs/engineering/flows/financial-inbox.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/financial/inbox/[id]/route.ts,,docs/engineering/flows/financial-inbox.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/financial/inbox/bulk-review/route.ts,,docs/engineering/flows/financial-inbox.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/financial/inbox/route.ts,,docs/engineering/flows/financial-inbox.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/financial/inbox/settings/route.ts,,docs/engineering/flows/financial-inbox.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/financial/management-analysis/route.ts,,docs/engineering/flows/financial-overview.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/financial/payment-requests/[id]/authorize/route.ts,,docs/engineering/flows/payment-requests.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/financial/payment-requests/[id]/proof/route.ts,,docs/engineering/flows/payment-requests.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/financial/payment-requests/[id]/refresh/route.ts,,docs/engineering/flows/payment-requests.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/financial/payment-requests/[id]/submit/route.ts,,docs/engineering/flows/payment-requests.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/financial/payment-requests/route.ts,,docs/engineering/flows/payment-requests.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/financial/pdv-stone-review/route.ts,,docs/engineering/flows/stone-sales-review.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/financial/stone-agenda/route.ts,,docs/engineering/flows/receivables-stone.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/financial/stone-anticipations/route.ts,,docs/engineering/flows/receivables-stone.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/financial/stone-future-receivables/route.ts,,docs/engineering/flows/receivables-stone.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/financial/stone-mappings/route.ts,,docs/engineering/flows/stone-sales-review.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/financial/stone-portfolio-cron/route.ts,,docs/engineering/runtime-surfaces.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/financial/stone-portfolio/route.ts,,docs/engineering/flows/receivables-stone.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/financial/stone-wallet-position/route.ts,,docs/engineering/flows/receivables-stone.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/forms/analytics/admin/aggregates/recompute/route.ts,,docs/engineering/flows/forms.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/forms/analytics/admin/privacy/anonymize-due/route.ts,,docs/engineering/flows/forms.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/forms/analytics/admin/privacy/backfill/route.ts,,docs/engineering/flows/forms.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/forms/analytics/admin/reprocess/execute/route.ts,,docs/engineering/flows/forms.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/forms/analytics/admin/reprocess/simulate/route.ts,,docs/engineering/flows/forms.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/forms/analytics/criteria/[criterionId]/route.ts,,docs/engineering/flows/forms.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/forms/analytics/criteria/route.ts,,docs/engineering/flows/forms.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/forms/analytics/domains/[domainId]/route.ts,,docs/engineering/flows/forms.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/forms/analytics/domains/route.ts,,docs/engineering/flows/forms.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/forms/analytics/jobs/anonymize-due/route.ts,,docs/engineering/runtime-surfaces.md,Destino de investigacao; conferir metodo e ramo no handler.
